TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
0,4153.5634,14238.6455,21991.7004,1171.5252,-192.7972,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
1,4369.0215,14310.7201,21993.0404,1177.2238,-214.0962,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
2,4637.4233,14485.1762,21997.6767,1196.2147,-242.9012,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
3,4990.3748,14714.7231,22007.3595,1234.5545,-260.8404,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
4,5213.035,14822.753,22008.1328,1247.4109,-270.5357,7015552303.6181,0.0,0.0,0.0,7015595324.4142,0.0,7015595324.4142,7015595324.4142,0.0
5,5521.5742,14966.0194,22009.0131,1259.5212,-275.6794,353625873.7016,0.0,0.0,0.0,353669354.1502,0.0,353669354.1502,353669354.1502,0.0
6,5874.2857,15104.9038,22010.0633,1280.3619,-278.8816,53976268.5846,0.0,0.0,0.0,54020259.3177,0.0,54020259.3177,54020259.3177,0.0
7,6264.5723,15209.0099,22010.1191,1269.0491,-281.0559,12300579.1724,0.0,0.0,0.0,12345050.867,0.0,12345050.867,12345050.867,0.0
8,6793.7775,15322.6759,22010.3608,1258.3264,-282.7486,3280950.891,0.0,0.0,0.0,3326053.2831,0.0,3326053.2831,3326053.2831,0.0
9,7503.2007,15449.589,22010.8354,1248.587,-284.019,1021826.2417,0.0,0.0,0.0,1067754.4348,0.0,1067754.4348,1067754.4348,0.0
10,8345.7781,15553.525,22011.1917,1248.6719,-285.1398,377950.3984,0.0,0.0,0.0,424824.4254,0.0,424824.4254,424824.4254,0.0
11,9274.1569,15680.0857,22011.1917,1248.6719,-286.1134,167211.5635,0.0,0.0,0.0,215139.5563,0.0,215139.5563,215139.5563,0.0
12,10304.5743,15827.9735,22011.9181,1248.9555,-286.9637,88042.1274,0.0,0.0,0.0,137148.5851,0.0,137148.5851,137148.5851,0.0
