TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
3000,9471.6888,16667.0246,21663.205,937.0126,-203.4136,-8831.9836,0.0,0.0,25882.4449,65585.9786,273.1821,39703.5338,65748.0161,273.1821
3100,9645.2861,16653.1379,21596.7545,968.0218,-200.6408,-8793.854,0.0,23.3057,26052.863,65944.8741,274.9808,39892.0112,66112.2917,274.1188
3200,9628.1542,16741.2297,21698.5657,937.974,-198.7811,-8728.2886,0.0,70.964,26212.9465,66362.7644,276.6704,40149.8179,66527.493,276.1231
3300,9718.9811,16802.3404,21632.6485,980.1872,-198.7787,-8728.4429,0.0,104.2318,26537.7072,66848.8745,280.0982,40311.1673,67011.8663,278.3002
3400,9834.6227,16644.8828,21736.5783,1007.8079,-200.344,-8738.0832,0.0,137.212,26574.8027,66997.479,280.4897,40422.6764,67171.7259,280.2092
3500,9808.3848,16836.7342,21671.2183,1013.0825,-200.1759,-8802.0948,0.0,167.316,26646.5272,67140.9922,281.2468,40494.465,67314.4654,281.048
3600,10021.3916,16777.4943,21701.7109,970.3083,-200.5842,-8755.0349,0.0,180.6466,26810.4441,67506.3767,282.9769,40695.9326,67673.6855,282.5537
3700,9978.9061,16864.1425,21675.8128,951.5431,-200.7733,-8672.0958,0.0,186.1406,26999.3988,67783.0748,284.9712,40783.6759,67959.8879,283.3381
3800,9957.9873,16942.6406,21657.3641,957.5024,-204.1998,-8702.9152,0.0,175.3974,27146.7104,67930.4873,286.5261,40783.7768,68118.5422,284.6071
3900,10167.7208,16819.2258,21730.2386,986.1939,-202.7868,-8678.4286,0.0,181.639,27044.997,68048.7997,285.4525,41003.8027,68223.1056,285.3756
4000,10214.4202,16974.3158,21731.1062,1001.4506,-200.3331,-8706.5435,0.0,213.4605,27074.8375,68302.7142,285.7675,41227.8767,68488.5056,286.3621
4100,10265.4844,16929.5701,21785.0052,969.8067,-197.4886,-8674.0844,0.0,248.3496,27332.797,68659.4401,288.4901,41326.6431,68844.5347,287.7608
4200,10266.8274,17162.6897,21689.8711,1006.2627,-196.6536,-8744.1966,0.0,278.6808,27471.3913,68934.8727,289.953,41463.4814,69122.1182,289.7819
4300,10317.0213,17008.5011,21707.1751,1018.3728,-198.836,-8778.2656,0.0,296.5345,27512.4248,68882.928,290.3861,41370.5032,69074.9358,290.2265
4400,10282.7738,17040.4308,21734.3213,1007.3785,-198.4403,-8730.7819,0.0,328.7582,27476.1988,68940.6392,290.0037,41464.4404,69140.9303,289.942
4500,10321.8143,17169.8952,21737.2737,941.0262,-198.8495,-8748.6386,0.0,350.3411,27482.3752,69055.2376,290.0689,41572.8623,69250.2145,290.0567
4600,10409.2894,16950.2652,21767.1951,948.6765,-198.4067,-8652.8246,0.0,386.3229,27686.4674,69296.985,292.223,41610.5176,69481.7492,290.4173
4700,10455.252,17218.811,21790.7614,1004.1985,-199.1291,-8707.8657,0.0,408.9883,27671.47,69642.4864,292.0648,41971.0164,69840.872,292.0523
4800,10493.4864,17200.2142,21739.743,988.0244,-199.7763,-8708.0498,0.0,453.1604,27955.6308,69922.4333,295.064,41966.8025,70120.2838,293.6587
4900,10584.15,17005.3193,21842.5422,1020.3729,-198.5134,-8678.5057,0.0,483.1883,28003.9041,70062.4577,295.5735,42058.5536,70264.453,294.4814
5000,10577.5229,17168.3542,21795.5817,991.7276,-197.0996,-8685.6423,0.0,522.573,27823.1581,69996.1757,293.6658,42173.0176,70202.9427,294.5036
5100,10557.7282,17309.2472,21813.5924,984.4491,-200.0334,-8759.0247,0.0,541.4049,27970.0806,70217.4443,295.2165,42247.3636,70408.4995,294.3258
5200,10771.452,17349.2316,21846.297,992.8997,-198.485,-8762.952,0.0,583.6406,27935.9923,70518.0763,294.8567,42582.0839,70701.7558,295.9187
5300,10612.56,17306.2459,21821.6411,1010.2678,-198.8779,-8730.1654,0.0,633.611,28184.983,70640.2655,297.4847,42455.2825,70836.2499,296.8132
5400,10704.9321,17481.3591,21833.2553,965.1158,-195.5924,-8782.1211,0.0,682.8749,28022.4554,70712.2792,295.7693,42689.8237,70902.5018,296.6078
5500,10773.886,17259.5295,21900.0367,976.2261,-196.5242,-8755.7922,0.0,724.4334,28234.0025,70915.7979,298.0021,42681.7954,71118.8815,297.0543
5600,10742.7535,17424.4327,21746.3888,977.8839,-197.8824,-8718.6733,0.0,771.2709,28287.1638,71033.338,298.5632,42746.1741,71233.0161,298.0717
5700,10831.2509,17438.4686,21781.9198,1016.9693,-197.7648,-8803.7455,0.0,820.6376,28064.0645,70951.8004,296.2085,42887.7359,71147.3256,297.4345
5800,10791.6547,17525.5218,21760.285,1030.4616,-198.2824,-8747.8907,0.0,894.1783,28095.7372,71151.6653,296.5428,43055.9282,71363.666,298.0974
5900,10933.476,17204.0593,21814.5862,1006.016,-197.1383,-8758.8227,0.0,934.1558,28411.1912,71347.5235,299.8723,42936.3323,71540.069,298.7197
6000,10864.6617,17486.2699,21846.4304,1047.6676,-200.4227,-8778.4007,0.0,948.0124,28036.4139,71250.6325,295.9166,43214.2186,71461.7327,299.0875
6100,10892.1392,17242.9607,21799.2892,1021.201,-198.6482,-8740.0735,0.0,941.1198,28330.3383,71288.3263,299.0189,42957.9881,71501.7271,298.137
