TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
0,69639.2022,36532.375,38022.9176,2083.5974,-56.6808,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
1,71350.5729,37215.8658,38020.5818,2085.9597,-465.1724,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
2,75730.0398,38850.4394,38036.8296,2091.9889,-674.5076,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
3,82363.3115,41226.6174,38064.9171,2101.4001,-749.5101,17872571221.2802,0.0,0.0,0.0,17872734228.0162,0.0,17872734228.0162,17872734228.0162,0.0
4,91800.9763,44055.8531,38104.3099,2108.3803,-772.1461,2135945610.1444,0.0,0.0,0.0,2136120907.5179,0.0,2136120907.5179,2136120907.5179,0.0
5,102482.1953,46533.2891,38127.3908,2115.647,-776.234,1190494969.6691,0.0,0.0,0.0,1190683451.9574,0.0,1190683451.9574,1190683451.9574,0.0
6,113860.4032,49009.0315,38155.2599,2125.4538,-776.5373,701489355.2063,0.0,0.0,0.0,701691728.8174,0.0,701691728.8174,701691728.8174,0.0
7,124934.843,51347.4415,38174.1035,2138.3291,-775.7429,17491111.5165,0.0,0.0,0.0,17706930.4907,0.0,17706930.4907,17706930.4907,0.0
8,135393.9442,53642.5236,38189.6816,2151.8135,-774.2804,1862284.6511,0.0,0.0,0.0,2090888.3336,0.0,2090888.3336,2090888.3336,0.0
9,141553.3378,55325.4404,38195.1672,2163.8385,-773.6224,348998.1154,0.0,0.0,0.0,585462.2768,0.0,585462.2768,585462.2768,0.0
10,141497.9602,56150.1046,38202.7685,2165.5978,-772.9886,141396.9643,0.0,0.0,0.0,378640.4068,0.0,378640.4068,378640.4068,0.0
11,139892.596,56308.8799,38203.7843,2165.982,-773.3422,106812.2898,0.0,0.0,0.0,342610.1899,0.0,342610.1899,342610.1899,0.0
12,139033.9842,56352.3674,38203.9651,2166.3189,-773.2539,100986.5384,0.0,0.0,0.0,335969.9202,0.0,335969.9202,335969.9202,0.0
13,138567.331,56366.5003,38203.0965,2166.3189,-773.2329,99158.7881,0.0,0.0,0.0,333688.8019,0.0,333688.8019,333688.8019,0.0
14,138283.0951,56364.2738,38202.6396,2166.3189,-773.3139,98465.5309,0.0,0.0,0.0,332708.5444,0.0,332708.5444,332708.5444,0.0
15,138231.715,56364.8662,38202.6906,2166.3189,-773.3254,98328.8628,0.0,0.0,0.0,332521.1281,0.0,332521.1281,332521.1281,0.0
16,138229.5827,56368.9486,38202.6751,2166.3189,-773.306,98128.2778,0.0,0.0,0.0,332322.497,0.0,332322.497,332322.497,0.0
17,127704.0611,55164.1275,38142.7671,2093.1792,-771.4983,63334.4853,0.0,0.0,0.0,285667.1219,0.0,285667.1219,285667.1219,0.0
18,118782.0313,54258.8594,38091.6459,2029.8949,-769.8152,44019.5627,0.0,0.0,0.0,256412.179,0.0,256412.179,256412.179,0.0
19,111411.2518,53659.6123,38049.4322,1977.1117,-768.222,34223.7081,0.0,0.0,0.0,238552.894,0.0,238552.894,238552.894,0.0
20,109954.7889,53487.5331,38041.7343,1968.4935,-768.0107,31264.6355,0.0,0.0,0.0,233949.1746,0.0,233949.1746,233949.1746,0.0
21,108529.9264,53318.0159,38033.99,1959.9582,-767.847,30070.6543,0.0,0.0,0.0,231144.6979,0.0,231144.6979,231144.6979,0.0
22,99397.9737,52134.336,37986.3002,1903.8933,-767.0037,26246.7902,0.0,0.0,0.0,216902.2897,0.0,216902.2897,216902.2897,0.0
23,90924.8298,51038.5151,37940.3309,1850.988,-766.139,23536.2749,0.0,0.0,0.0,204524.7997,0.0,204524.7997,204524.7997,0.0
24,80108.4248,49582.4941,37870.1424,1770.6658,-764.6546,20828.9476,0.0,0.0,0.0,189396.0202,0.0,189396.0202,189396.0202,0.0
25,70436.405,48297.4128,37803.6839,1695.0179,-763.1464,18509.7032,0.0,0.0,0.0,175979.0763,0.0,175979.0763,175979.0763,0.0
26,63037.865,47321.064,37744.3722,1628.7598,-761.7075,16677.6226,0.0,0.0,0.0,165647.9761,0.0,165647.9761,165647.9761,0.0
27,56384.0728,46459.7042,37688.0012,1565.9848,-760.2554,15025.1596,0.0,0.0,0.0,156362.6672,0.0,156362.6672,156362.6672,0.0
28,51023.8724,45750.3156,37638.8059,1511.8146,-758.9502,13761.6916,0.0,0.0,0.0,148927.5498,0.0,148927.5498,148927.5498,0.0
29,46175.7168,45117.9697,37591.7397,1460.2969,-757.6447,12595.5993,0.0,0.0,0.0,142183.6775,0.0,142183.6775,142183.6775,0.0
30,42180.3023,44569.2756,37548.3355,1414.0079,-756.4843,11589.5209,0.0,0.0,0.0,136544.958,0.0,136544.958,136544.958,0.0
31,38560.8538,44075.8931,37506.549,1369.9202,-755.3282,10656.1973,0.0,0.0,0.0,131414.0853,0.0,131414.0853,131414.0853,0.0
32,35296.5984,43653.8939,37469.1135,1332.0856,-754.3378,9828.5463,0.0,0.0,0.0,126825.8999,0.0,126825.8999,126825.8999,0.0
33,32343.7144,43268.7951,37432.8936,1295.9355,-753.3542,9069.743,0.0,0.0,0.0,122657.7273,0.0,122657.7273,122657.7273,0.0
34,29216.0026,42815.4358,37390.8981,1255.4933,-752.1851,8271.8882,0.0,0.0,0.0,118197.533,0.0,118197.533,118197.533,0.0
35,26454.2069,42404.4262,37350.648,1217.2621,-751.024,7544.4871,0.0,0.0,0.0,114220.0063,0.0,114220.0063,114220.0063,0.0
36,23849.6023,41950.658,37308.4121,1179.3369,-749.7797,6728.7621,0.0,0.0,0.0,110266.9917,0.0,110266.9917,110266.9917,0.0
37,21585.009,41534.9859,37268.1411,1143.6371,-748.5481,5982.1182,0.0,0.0,0.0,106765.3432,0.0,106765.3432,106765.3432,0.0
38,19895.8463,41100.0338,37229.9411,1111.1876,-747.3678,5259.3303,0.0,0.0,0.0,103848.9712,0.0,103848.9712,103848.9712,0.0
39,18407.1787,40695.357,37193.2823,1080.6023,-746.1949,4585.3627,0.0,0.0,0.0,101215.588,0.0,101215.588,101215.588,0.0
40,16738.1471,40066.1585,37140.4593,1039.4565,-744.4466,3697.7584,0.0,0.0,0.0,97937.5331,0.0,97937.5331,97937.5331,0.0
41,15337.7945,39486.6995,37090.4001,1001.7692,-742.7057,2870.4375,0.0,0.0,0.0,95044.395,0.0,95044.395,95044.395,0.0
42,14058.0103,38672.7101,37027.9431,958.7462,-740.4944,1997.2266,0.0,0.0,0.0,91974.1419,0.0,91974.1419,91974.1419,0.0
43,12982.3792,37919.7285,36971.6854,920.217,-738.2742,1198.9162,0.0,0.0,0.0,89254.6522,0.0,89254.6522,89254.6522,0.0
44,12141.8227,37064.5696,36913.192,883.5394,-735.9499,381.6985,0.0,0.0,0.0,86648.8722,0.0,86648.8722,86648.8722,0.0
45,11427.4967,36266.3953,36860.2157,850.8608,-733.609,-345.0142,0.0,0.0,0.0,84326.3453,0.0,84326.3453,84326.3453,0.0
46,10943.7158,35532.1202,36814.1469,825.9634,-731.5656,-898.2625,0.0,0.0,0.0,82486.1181,0.0,82486.1181,82486.1181,0.0
47,10504.7736,34834.3961,36770.8244,803.2345,-729.5143,-1413.0224,0.0,0.0,0.0,80770.692,0.0,80770.692,80770.692,0.0
48,10162.0555,34202.8298,36731.0444,784.1583,-727.6792,-1851.8209,0.0,0.0,0.0,79300.5879,0.0,79300.5879,79300.5879,0.0
49,9863.9319,33609.6522,36693.5257,767.1567,-725.9205,-2271.1029,0.0,0.0,0.0,77937.2431,0.0,77937.2431,77937.2431,0.0
50,9598.4976,33044.1091,36657.8301,751.7528,-724.219,-2651.5312,0.0,0.0,0.0,76676.4394,0.0,76676.4394,76676.4394,0.0
51,9359.6088,32501.8908,36623.5822,737.62,-722.5602,-3006.0246,0.0,0.0,0.0,75494.1171,0.0,75494.1171,75494.1171,0.0
52,9141.7498,31977.9802,36590.4358,724.4962,-720.9302,-3340.8078,0.0,0.0,0.0,74372.9241,0.0,74372.9241,74372.9241,0.0
53,8940.2947,31466.9024,36558.0233,712.1515,-719.3128,-3660.9468,0.0,0.0,0.0,73297.1124,0.0,73297.1124,73297.1124,0.0
54,8751.0905,30962.2475,36525.9118,700.3649,-717.6874,-3971.4062,0.0,0.0,0.0,72250.5209,0.0,72250.5209,72250.5209,0.0
55,8570.9892,30475.2899,36495.151,689.3179,-716.0589,-4272.0571,0.0,0.0,0.0,71242.6319,0.0,71242.6319,71242.6319,0.0
56,8347.3264,29991.8057,36464.0527,678.6845,-714.4713,-4560.4852,0.0,0.0,0.0,70206.9128,0.0,70206.9128,70206.9128,0.0
57,8037.6072,29119.855,36407.2863,660.1391,-711.4766,-5085.3911,0.0,0.0,0.0,68428.0199,0.0,68428.0199,68428.0199,0.0
58,7681.9742,27969.0992,36330.2576,636.8186,-707.2785,-5780.6038,0.0,0.0,0.0,66130.2673,0.0,66130.2673,66130.2673,0.0
