TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
0,69639.2022,36532.375,38023.4293,2083.5974,-755.7176,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
1,71350.5732,37215.866,38021.0935,2085.9596,-735.0928,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
2,75730.0412,38850.4396,38037.3412,2091.9889,-718.9148,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
3,82363.3111,41226.6131,38065.4288,2101.4001,-715.2175,17879489518.5545,0.0,0.0,0.0,17879652560.0901,0.0,17879652560.0901,17879652560.0901,0.0
4,91800.9809,44055.8482,38104.8215,2108.3804,-728.4037,16317570294.7469,0.0,0.0,0.0,16317745636.3742,0.0,16317745636.3742,16317745636.3742,0.0
5,102482.2038,46533.283,38127.9025,2115.6471,-752.1663,99999999999.9999,0.0,0.0,0.0,99999999999.9999,0.0,99999999999.9999,99999999999.9999,0.0
6,113860.4135,49009.0234,38155.7716,2125.4538,-767.305,11172373312.0987,0.0,0.0,0.0,11172575695.4561,0.0,11172575695.4561,11172575695.4561,0.0
7,124934.8544,51347.4315,38174.6152,2138.3291,-773.547,17493505.3007,0.0,0.0,0.0,17709326.984,0.0,17709326.984,17709326.984,0.0
8,135393.9574,53642.5133,38190.1932,2151.8135,-774.6389,1862458.7423,0.0,0.0,0.0,2091062.5808,0.0,2091062.5808,2091062.5808,0.0
9,141553.3518,55325.4295,38195.6788,2163.8385,-774.4848,349004.9944,0.0,0.0,0.0,585468.8081,0.0,585468.8081,585468.8081,0.0
10,141497.9573,56150.101,38203.2803,2165.5978,-773.9383,141397.9234,0.0,0.0,0.0,378640.9214,0.0,378640.9214,378640.9214,0.0
11,139892.5823,56308.8759,38204.296,2165.982,-774.2624,106812.6797,0.0,0.0,0.0,342610.1534,0.0,342610.1534,342610.1534,0.0
